District code,District name,School start date,Grades: In person,Grades: Hybrid,Grades: Remote,Percentage of students who are fully remote,Total number of students in the district,Predominant learning model ,Organization type,Alliance District,Reporting period,Update date
0640261,Grace S. Webb School,,"g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0642061,Eagle House Education Program,,"g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0642161,High Road School of Hartford High,,N/A,"g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0642261,High Road School of Hartford-Primary,,N/A,"g2, g3, g4, g5, g6, g7, g8",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0646061,Futures School-West Hartford,,N/A,"g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0646161,Options Educational Services,,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0650011,Hartland School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0670011,Hebron School District,,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0670221,Oak Hill School at Hemlocks Center,,N/A,"g7, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0680011,Kent School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0690011,Killingly School District,,"PK, K, g1",N/A,"g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",,,Most/All Grades Fully Remote,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
0690161,Natchaug Hospital School Joshua Center NE-Danielson,,"g6, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0690421,High Road School Hartford High: Windham County,,"g7, g9, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0710011,Lebanon School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0720011,Ledyard School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0730011,Lisbon School District,,"PK, K, g1, g2, g3, g4, g5, g6, g8",g7,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0740011,Litchfield School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0740161,Connecticut Junior Republic,,N/A,N/A,"g6, g7, g8, g9, g10, g11, g12",,,Most/All Grades Fully Remote,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0740461,Touchstone School,,"g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0760011,Madison School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0760161,Grove School,,"g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0770011,Manchester School District,,"PK, K, g1, g2, g3, g4","g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
0770161,Community Child Guidance Clinic School,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0770221,Adelbrook-The Learning Center of Manchester,,N/A,"K, g1, g2, g3, g4, g5, g6",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0770361,Manchester Memorial Hospital Clinical Day School,,N/A,"g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0780011,Mansfield School District,,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0780161,Natchaug Hospital Inpatient School,,g11,N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0780361,Natchaug Hospital Journey School,,"g10, g11",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0790011,Marlborough School District,,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0800011,Meriden School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
0800161,Meliora Academy,,"g1, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0830011,Middletown School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
0840011,Milford School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0840161,Charles F. Hayden School at Boys & Girls Village,,"K, g1, g2, g3, g4, g5, g6, g7, g9, g10, g11, g12",N/A,g8,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0840461,Milestones Behavioral Services-Orange,,"g5, g9, g12","g4, g7, g10",g6,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0840561,Milestones Behavioral Services-Milford,,"K, g2, g3, g4, g5, g7, g8, g9, g10, g11, g12",N/A,g6,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0846061,The Foundation School-Milford,,"g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0846161,Woodhouse Academy,,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0850011,Monroe School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0860011,Montville School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0860221,Bradley School-New London Regional,,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0880011,Naugatuck School District,,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
0880521,IPPI Learning Academy at Prospect St. School,,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0890011,New Britain School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,Opportunity,"January 25, 2021 - January 29, 2021",02/03/2021
0890261,Oak Hill School at Bristol,,N/A,"g1, g6, g7, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0890361,Raymond Hill School,,N/A,"g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",g2,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0890461,Solterra Academy,,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0895161,Oak Hill School at Hartford Primary,,N/A,"g3, g5, g6, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0900011,New Canaan School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0910011,New Fairfield School District,,"g6, g7, g8, g9, g10, g11, g12",N/A,"PK, K, g1, g2, g3, g4, g5",,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0920011,New Hartford School District,,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0920161,Oak Hill School at Ann Antolini School,,N/A,N/A,"g1, g2, g3, g5, g6, g8",,,Most/All Grades Fully Remote,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0930011,New Haven School District,,N/A,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",,,Most/All Grades Hybrid,Public School Districts,Opportunity,"January 25, 2021 - January 29, 2021",02/03/2021
0930661,"Chapel Haven Schleifer Center, Inc.",,N/A,g12,N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0931461,Yale Child Study Center School,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0940011,Newington School District,,"PK, K, g1, g2, g3, g4","g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0950011,New London School District,,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",,,Most/All Grades Fully Remote,Public School Districts,Opportunity,"January 25, 2021 - January 29, 2021",02/03/2021
0950161,Connecticut College Child Development Lab School,,PK,N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0950421,High Road School of New London Middle/High School,,N/A,"g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
0960011,New Milford School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0970011,Newtown School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0980011,Norfolk School District,,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
0990011,North Branford School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1000011,North Canaan School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1010011,North Haven School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1010161,Elizabeth Ives School for Special Children,,N/A,N/A,"g2, g3, g4, g6, g8, g9, g10, g11, g12",,,Most/All Grades Fully Remote,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1020011,North Stonington School District,,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1030011,Norwalk School District,,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
1036261,High Road School of Fairfield County,,N/A,"g1, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1040011,Norwich School District,,N/A,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8",,,Most/All Grades Fully Remote,Public School Districts,Opportunity,"January 25, 2021 - January 29, 2021",02/03/2021
1040721,Natchaug Hospital School Joshua Center Thames Valley CDT,,"g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1060011,Old Saybrook School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1060161,Natchaug Hospital School CDT-Shoreline,,"g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1070011,Orange School District,,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1070161,The Foundation School-Orange,,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1075061,Hope Academy,,N/A,"g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1080011,Oxford School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1090011,Plainfield School District,,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1100011,Plainville School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1100261,Northwest Village School/Wheeler Clinic,,N/A,"g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1105261,Oak Hill School at Middle School of Plainville,,N/A,"g6, g7, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1106161,Oak Hill School at Haddam-Killingworth High School,,N/A,N/A,"g7, g9, g11, g12",,,Most/All Grades Fully Remote,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1110011,Plymouth School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1120011,Pomfret School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1130011,Portland School District,,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1130121,Oak Hill School at Portland,,N/A,"g2, g4, g5, g8",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1140011,Preston School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1160011,Putnam School District,,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
1170011,Redding School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1180011,Ridgefield School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1190011,Rocky Hill School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1210011,Salem School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1220011,Salisbury School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1230011,Scotland School District,,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1240011,Seymour School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1250011,Sharon School District,,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1260011,Shelton School District,,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1270011,Sherman School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1280011,Simsbury School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1290011,Somers School District,,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1290321,The Speech Academy-Somersville,,"g1, g6, g7, g8, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1310011,Southington School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1320011,South Windsor School District,,"K, g1, g2, g3, g4, g5","PK, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1330011,Sprague School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1340011,Stafford School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1350011,Stamford School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
1350161,Villa Maria Education Center,,"g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1351321,IPPI Learning Academy: Stamford,,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1356621,The Spire School,,N/A,N/A,"g6, g7, g8, g9, g10, g11, g12",,,Most/All Grades Fully Remote,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1356721,"The Pinnacle School, LLC",,N/A,N/A,"g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",,,Most/All Grades Fully Remote,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1360011,Sterling School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1370011,Stonington School District,,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1380011,Stratford School District,,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1380121,IPPI Learning Academy: Stratford,,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",,,Most/All Grades Fully Remote,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1390011,Suffield School District,,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1400011,Thomaston School District,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1410011,Thompson School District,,"g5, g6, g7, g8, g9, g10, g11, g12",N/A,"PK, K, g1, g2, g3, g4",,,Most/All Grades Fully In-Person,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
1410161,River Run Academy at the Susan Wayne Center of Excellence,,N/A,"g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1410221,Bradley School-Windham County,,"g5, g6, g7, g8, g9, g10, g11, g12",N/A,"K, g1, g2, g3, g4",,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1420011,Tolland School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1430011,Torrington School District,,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
1440011,Trumbull School District,,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1440161,St. Vincent's Special Needs School Program,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1450011,Union School District,,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1460011,Vernon School District,,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,Alliance,"January 25, 2021 - January 29, 2021",02/03/2021
1470011,Voluntown School District,,"K, g1, g2, g3, g4, g5, g6, g7, g8",PK,N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1480011,Wallingford School District,,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Fully In-Person,Public School Districts,,"January 25, 2021 - January 29, 2021",02/03/2021
1480161,Benhaven School,,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1480461,Benhaven Academy,,"g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,,Most/All Grades Fully In-Person,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1480521,High Road Academy - BEST Academy,,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
1485061,High Road School of Wallingford,,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,,Most/All Grades Hybrid,Approved Private Special Education Program,,"January 25, 2021 - January 29, 2021",02/03/2021
